apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
173627.4667,91.1612,178571.4,98.2741,,,,,175820.74,82.6516,162500,74.2721,,,,,6013307205
166547.36,73.0694,179063.7,72.5374,183.7009,65.7713,183.7009,65.7713,193490.15,107.13625,193490.15,107.13625,411.9318,96.6248,411.9318,96.6248,6013313101
176342.95,96.80675,176342.95,96.80675,,,,,157024.8,86.2017,157024.8,86.2017,,,,,6013313102
191379.3,104.8649,191379.3,104.8649,,,,,,,,,,,,,6013314104
346997,257.36835,346997,257.36835,,,,,,,,,,,,,6013317000
184722.2,47.7072,184722.2,47.7072,,,,,307940.7,170.5612,307940.7,170.5612,,,,,6013319000
258194.4333,155.6968333,268333.3,147.3555,212.3262,68.7169,212.3262,68.7169,226190.5,149.1214,226190.5,149.1214,,,,,6013320004
223687.5,123.7145,223687.5,123.7145,,,,,274000,141.3525,274000,141.3525,,,,,6013321103
239833.3,241.1395,239833.3,241.1395,129.0583,50.4346,129.0583,50.4346,,,,,,,,,6013321200
306530.15,230.2724,306530.15,230.2724,251.0430286,313.342,301.2784,84.9403,,,,,161.41736,235.51874,126.0365,61.2182,6013324001
205124.175,176.228325,188311.7,171.58545,172.34375,128.54745,172.34375,128.54745,135528.474,95.59758,97402.59,88.7511,368.4026,116.9591,368.4026,116.9591,6013324002
196851.9,127.0996,196851.9,127.0996,,,,,226388.9,143.2411,226388.9,143.2411,,,,,6013325000
275244.37,292.2539833,243117.75,282.115,345.2976429,455.0309,195.9732,483.3946,193206.0267,237.2798,259090.9,256.7577,,,,,6013328000
190131.6,192.8621,190131.6,192.8621,285.5058,136.2994,285.5058,136.2994,170833.3,107.79515,170833.3,107.79515,,,,,6013329000
233776.8,109.220375,240625,101.6951,,,,,180000,98.9707,180000,98.9707,,,,,6013331000
187500,136.6479,187500,136.6479,,,,,267000,194.5866,267000,194.5866,,,,,6013333101
259640.4,136.5793,259640.4,136.5793,,,,,235214,171.384,235214,171.384,,,,,6013333200
437500,152.1739,437500,152.1739,404.1706,219.9975,404.1706,219.9975,572608.7,182.1325,572608.7,182.1325,,,,,6013334200
177361.45,127.770975,178532.4,102.0853,,,,,163152.905,95.67523333,157962.15,68.04075,,,,,6013336101
167916.1809,144.2625727,160550.5,128.2177,,,,,198721.93,161.22887,204611.05,159.16915,,,,,6013336102
271090.9,137.9151,271090.9,137.9151,,,,,,,,,,,,,6013336201
152075.3782,107.3246364,154207.8,97.5069,,,,,185185.2,151.0358,185185.2,151.0358,,,,,6013336202
235989.6,120.1691,235989.6,120.1691,115.6944,47.0788,115.6944,47.0788,,,,,,,,,6013337200
67441.82,43.0818,67441.82,43.0818,,,,,143750,79.59935,143750,79.59935,,,,,6013338101
285868.7,299.79105,285868.7,299.79105,179.7463667,161.2286333,195.8478,203.0309,,,,,162.6016,252.2058,162.6016,252.2058,6013338203
332657.6,133.8253,332657.6,133.8253,,,,,187500,51.3959,187500,51.3959,,,,,6013338204
266048.5,396.7189,241436.05,318.378,342.483125,163.738025,290.5965,135.6414,237146.1857,266.0861286,205263.2,193.394,258.1350667,188.4905,278.0237,147.689,6013339001
320044.6636,481.5890455,320000,366.3362,438.1889167,504.1252444,388.0337,454.6434,308599.6583,413.4820083,301005.6,296.3634,324.4853364,392.6780636,282.5076,287.1856,6013339002
251009.16,128.53454,228571.4,97.0462,230.3919,114.8290667,202.628,108.7969,242734.5667,150.0532833,203911.9,162.74055,180.52315,84.3664,180.52315,84.3664,6013340001
114583.3,191.3177,114583.3,191.3177,257.8101,110.271,257.8101,110.271,280773.35,207.61015,280773.35,207.61015,,,,,6013341000
242424.3,275.4821,242424.3,275.4821,435.7504667,154.4868,458.3834,142.9442,,,,,390.04345,140.1727,390.04345,140.1727,6013343002
280520.36,253.33566,244186,181.1863,385.669325,159.2072,396.6697,169.90215,216666.7,192.5412,216666.7,192.5412,,,,,6013349000
