,population_density,average_household_income,employ_rate,gini_index,poverty_family_below_poverty_level_rate,housing_unit_median_value,housing_unit_median_gross_rent,age_median,voting_2016_dem_percentage,voting_2016_gop_percentage,number_of_years_of_education,diversity,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,dropout_16_19_inschool_rate,health_insurance_none_rate,education_less_than_high_school_rate,race_white_rate,race_black_africa_rate,race_indian_alaska_rate,race_asian_rate,race_islander_rate,race_other_rate,race_two_more_rate,average_household_size,household_type_family_rate,fips
797,16919.32,116381.61217200001,0.920755536257,0.43799999999999994,0.07676348547720001,913900.0,1500.0,35.6,0.733480189578,0.20852979907400002,15.6425744278,0.624210517088,0.0258593503627,0.286029643646,0.7111356119069999,0.971751412429,0.10337901701300001,0.05162622612290002,0.364839319471,0.039106805293,0.00874291115312,0.48724007561399996,0.0202032136106,0.0337901701323,0.046077504725900005,2.74,0.78018776303,6085508304
798,9688.104,99418.72,0.881842818428,0.4344,0.0141129032258,608500.0,1336.0,37.7,0.7931424750689999,0.148711258246,15.549881796700001,0.595275517751,0.024199843872000002,0.352068696331,0.7716186252770001,0.983606557377,0.0353371242892,0.0591016548463,0.599759615385,0.151442307692,0.006009615384619999,0.10176282051300001,0.0008012820512819999,0.0396634615385,0.100560897436,1.98,0.3968,6001401200
799,11434.36,119109.409969,0.9294616151549999,0.38,0.0737804878049,561600.0,1863.0,35.2,0.7931424750689999,0.148711258246,13.7004422999,0.7249255736139999,0.023348236463,0.630899155489,0.799212598425,0.9638009049770001,0.12077847739,0.120828307197,0.30208929593600004,0.0373497424156,0.00643961076131,0.35303377218099996,0.010589582140799999,0.233113909559,0.057384087006299996,3.55,0.834181078332,6001442400
800,1476.1629999999998,287966.10169499996,0.9296187683280001,0.5025,0.0317725752508,2000001.0,2397.0,45.6,0.7881500077310001,0.159458254882,16.3916449086,0.147259371895,0.114318706697,0.7979214780600001,0.732272069465,1.0,0.018166089965400003,0.0496083550914,0.922577854671,0.0,0.0,0.0255190311419,0.0220588235294,0.0129757785467,0.0168685121107,2.92,0.779661016949,6041118100
801,16131.23,83898.7917146,0.944022770398,0.4341,0.0932524639879,594200.0,1675.0,32.2,0.763759178293,0.186891084839,12.145148770999999,0.586845010453,0.0344444444444,0.357222222222,0.892690513219,0.925423728814,0.21908687381099998,0.33842173350599997,0.562143310082,0.054216867469899996,0.005389980976540001,0.031547241598,0.0229866835764,0.303741280913,0.0199746353836,3.61,0.758918296893,6081610400
802,16994.47,131105.03306400002,0.952156668319,0.483,0.11096605744100001,671100.0,1833.0,31.9,0.733480189578,0.20852979907400002,15.6595012898,0.667355556423,0.012336719883900001,0.36429608127700003,0.741035856574,1.0,0.111288914751,0.118873602752,0.467849869072,0.0173116089613,0.0,0.309572301426,0.021821355833600002,0.10445155659,0.07899330811750001,2.52,0.5628214548129999,6085509404
803,30447.68,110577.1518,0.942140118508,0.4022,0.0243902439024,869900.0,1698.0,35.8,0.8553169356270001,0.09442505372369996,15.857225433499998,0.53939324229,0.0415,0.231,0.649350649351,1.0,0.0529175525632,0.0771676300578,0.608551854477,0.005433498700689999,0.0,0.29057406095,0.0,0.022678951098500003,0.0727616347744,2.21,0.470526864893,6075030201
804,32562.37,122894.78425799999,0.9640864714090001,0.4401,0.0103626943005,991100.0,1727.0,33.8,0.8553169356270001,0.09442505372369996,16.0881147541,0.533751352918,0.0208913649025,0.213091922006,0.666666666667,1.0,0.0559659726886,0.0448258196721,0.63801208865,0.0217147974032,0.0,0.224535482427,0.0,0.029550033579599996,0.0861875979405,2.1,0.45756282598399994,6075030202
805,995.1487,97016.2995595,0.924128180961,0.3951,0.07142857142860001,571700.0,1205.0,42.2,0.763759178293,0.186891084839,12.8621068032,0.722501689088,0.04781879194630001,0.6820469798659999,0.659286592866,1.0,0.0726373340276,0.247256766642,0.409929815441,0.0439303353262,0.014036911879399998,0.281258123213,0.0473095918898,0.15310631661,0.0504289056408,3.3,0.764757709251,6081602300
806,36172.61,115213.040752,0.93981083405,0.4859,0.0680628272251,646400.0,1325.0,36.6,0.8553169356270001,0.09442505372369996,15.629057187,0.56524791584,0.196878147029,0.162638469285,0.8916408668729999,0.936507936508,0.0936565924942,0.09080370942810001,0.6300232480899999,0.0717369644636,0.0169378943872,0.122882763202,0.0036532713384299998,0.128860843574,0.025905014945200002,1.79,0.23949843260200002,6075016802
